step,eval_reward,policy_loss,value_loss,entropy,approx_kl,clipfrac,lr
10000,-88.99999999999905,0,0,0,0,0,0
10000,-85.03999999999937,0,0,0,0,0,0
20000,-74.48000000000046,0,0,0,0,0,0
30000,-62.37999999999895,0,0,0,0,0,0
40000,-16.840000000000664,0,0,0,0,0,0
50000,9.999999999996785,0,0,0,0,0,0
60000,-6.500000000002639,0,0,0,0,0,0
70000,6.919999999997032,0,0,0,0,0,0
80000,8.899999999995362,0,0,0,0,0,0
90000,-2.7600000000030533,0,0,0,0,0,0
10000,-75.58000000000003,0,0,0,0,0,0
20000,-59.560000000000265,0,0,0,0,0,0
30000,-67.87999999999985,0,0,0,0,0,0
10000,-86.35999999999936,0,0,0,0,0,0
20000,-77.56000000000022,0,0,0,0,0,0
30000,-72.27999999999955,0,0,0,0,0,0
40000,-19.039999999999736,0,0,0,0,0,0
50000,9.77999999999692,0,0,0,0,0,0
60000,20.55999999999699,0,0,0,0,0,0
70000,-37.919999999999526,0,0,0,0,0,0
80000,37.49999999999236,0,0,0,0,0,0
90000,3.3999999999937174,0,0,0,0,0,0
100000,-16.620000000001465,0,0,0,0,0,0
110000,36.83999999999223,0,0,0,0,0,0
120000,0.9799999999962822,0,0,0,0,0,0
130000,20.999999999990496,0,0,0,0,0,0
140000,26.499999999994156,0,0,0,0,0,0
150000,22.09999999999141,0,0,0,0,0,0
160000,4.499999999993699,0,0,0,0,0,0
170000,24.299999999989065,0,0,0,0,0,0
180000,24.5199999999886,0,0,0,0,0,0
190000,43.65999999998688,0,0,0,0,0,0
200000,5.81999999999176,0,0,0,0,0,0
210000,54.87999999999281,0,0,0,0,0,0
220000,147.93999999999073,0,0,0,0,0,0
230000,78.19999999998902,0,0,0,0,0,0
240000,78.4199999999864,0,0,0,0,0,0
250000,134.9599999999902,0,0,0,0,0,0
260000,124.83999999999303,0,0,0,0,0,0
270000,54.659999999991214,0,0,0,0,0,0
280000,123.29999999998718,0,0,0,0,0,0
290000,153.87999999998786,0,0,0,0,0,0
300000,97.99999999998929,0,0,0,0,0,0
310000,92.05999999998794,0,0,0,0,0,0
320000,107.45999999998794,0,0,0,0,0,0
330000,72.47999999998808,0,0,0,0,0,0
340000,116.69999999998615,0,0,0,0,0,0
350000,82.59999999998635,0,0,0,0,0,0
360000,99.31999999998968,0,0,0,0,0,0
370000,109.43999999998569,0,0,0,0,0,0
380000,96.23999999998941,0,0,0,0,0,0
390000,68.7399999999883,0,0,0,0,0,0
400000,106.79999999998634,0,0,0,0,0,0
410000,134.29999999998614,0,0,0,0,0,0
420000,98.21999999998641,0,0,0,0,0,0
430000,159.99999999999247,0,0,0,0,0,0
440000,196.99999999998786,0,0,0,0,0,0
450000,164.63999999998828,0,0,0,0,0,0
460000,127.69999999998713,0,0,0,0,0,0
470000,154.5399999999877,0,0,0,0,0,0
480000,148.8199999999876,0,0,0,0,0,0
490000,143.97999999998765,0,0,0,0,0,0
500000,108.99999999998582,0,0,0,0,0,0
510000,88.31999999998547,0,0,0,0,0,0
520000,162.6799999999874,0,0,0,0,0,0
530000,175.49999999998835,0,0,0,0,0,0
540000,70.65999999998573,0,0,0,0,0,0
550000,149.9199999999871,0,0,0,0,0,0
560000,167.09999999998743,0,0,0,0,0,0
570000,184.67999999998705,0,0,0,0,0,0
580000,161.79999999998705,0,0,0,0,0,0
590000,158.7599999999879,0,0,0,0,0,0
600000,154.09999999998726,0,0,0,0,0,0
610000,110.53999999998601,0,0,0,0,0,0
620000,127.69999999998613,0,0,0,0,0,0
630000,141.77999999998642,0,0,0,0,0,0
640000,121.75999999998655,0,0,0,0,0,0
650000,202.49999999998903,0,0,0,0,0,0
660000,99.53999999998788,0,0,0,0,0,0
670000,131.21999999998656,0,0,0,0,0,0
680000,128.79999999998617,0,0,0,0,0,0
690000,86.77999999998926,0,0,0,0,0,0
700000,61.739999999990516,0,0,0,0,0,0
710000,58.73999999999215,0,0,0,0,0,0
720000,76.4599999999883,0,0,0,0,0,0
730000,70.93999999998907,0,0,0,0,0,0
740000,51.79999999999269,0,0,0,0,0,0
750000,117.7999999999895,0,0,0,0,0,0
760000,119.33999999999074,0,0,0,0,0,0
770000,132.97999999998726,0,0,0,0,0,0
780000,138.73999999998745,0,0,0,0,0,0
790000,107.01999999998615,0,0,0,0,0,0
800000,148.59999999998644,0,0,0,0,0,0
810000,107.89999999998663,0,0,0,0,0,0
820000,114.05999999998626,0,0,0,0,0,0
830000,86.55999999998895,0,0,0,0,0,0
840000,152.11999999998642,0,0,0,0,0,0
850000,107.27999999998596,0,0,0,0,0,0
860000,129.67999999998727,0,0,0,0,0,0
870000,162.0199999999883,0,0,0,0,0,0
880000,95.79999999998608,0,0,0,0,0,0
890000,135.17999999998727,0,0,0,0,0,0
900000,99.97999999998672,0,0,0,0,0,0
910000,132.09999999998655,0,0,0,0,0,0
920000,128.3599999999865,0,0,0,0,0,0
930000,144.2599999999871,0,0,0,0,0,0
940000,134.07999999998657,0,0,0,0,0,0
950000,143.5399999999867,0,0,0,0,0,0
960000,148.95999999998767,0,0,0,0,0,0
970000,160.19999999998805,0,0,0,0,0,0
980000,86.55999999998679,0,0,0,0,0,0
990000,144.63999999998862,0,0,0,0,0,0
1000000,145.61999999998685,0,0,0,0,0,0
