step,reward,critic_loss,actor_loss,alpha
10000,-73.6728989249983,0.5380173921585083,-3.379603385925293,0.016507074236869812
20000,58.91174739110672,0.32336705923080444,-4.474459648132324,0.004645150620490313
30000,353.45118553728605,1.329101800918579,-13.58898639678955,0.0159950852394104
40000,618.6684423045793,3.5335843563079834,-23.71211051940918,0.027077989652752876
50000,710.0109736878126,5.739022254943848,-42.34247589111328,0.03392597287893295
60000,704.2912476926479,3.988250494003296,-54.0829963684082,0.04068688675761223
70000,859.4220290419755,7.134106636047363,-61.421260833740234,0.04671800881624222
80000,778.958263919801,5.234560012817383,-66.73141479492188,0.04490920901298523
90000,725.3640568124379,5.246901512145996,-67.0244140625,0.043662186712026596
100000,811.3752408093413,5.859665870666504,-66.58326721191406,0.03919913247227669
110000,659.2008523851889,6.040872573852539,-57.362735748291016,0.04002906009554863
120000,-17.110824410196052,15.05207347869873,-50.240501403808594,0.061406247317790985
130000,427.7688083942588,10.911142349243164,-61.1940803527832,0.05266961455345154
140000,606.7856713806847,13.8948974609375,-54.089500427246094,0.04194851219654083
150000,689.0416087823303,12.967145919799805,-49.149330139160156,0.033774252980947495
160000,572.3823540783336,7.134483337402344,-46.317291259765625,0.03268500789999962
170000,352.9763692750971,8.848612785339355,-46.04624557495117,0.0303527619689703
180000,26.511778846546726,3.3126420974731445,6.745550155639648,0.00872905645519495
190000,353.12402725113134,6.4293975830078125,-13.58177375793457,0.012996728532016277
200000,565.5765704742572,13.070504188537598,-31.50783920288086,0.016145877540111542
210000,464.9709587528544,7.55565071105957,-25.894222259521484,0.01252315379679203
220000,571.130059524027,7.41539192199707,-20.78130340576172,0.011699738912284374
230000,596.1579883971001,8.631977081298828,-30.238924026489258,0.014534879475831985
240000,397.93027693179295,8.521315574645996,-27.101402282714844,0.012804992496967316
250000,512.3172647687571,6.175022125244141,-31.44977569580078,0.01461845450103283
